Lab Name,Sectors,Location,Institution
Manufacturing and Automotive Innovation Hub Research Facility,"Automotive, Manufacturing and processing, Transportation","800 Collip Circle, London, ON, N6G 4X8, Canada",National Research Council Canada
Mass Spectrometry - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Materials Analysis Facility,"Chemical industries, Clean technology, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Materials Characterization Facility,"Chemical industries, Clean technology, Education, Energy, Environmental technologies and related services, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","30 Marie-Curie Private, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Materials Characterization Facility (MCF),"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Materials Characterization Laboratory (uOttawa MCL),"Aerospace and satellites, Automotive, Clean technology, Energy, Environmental technologies and related services, Manufacturing and processing, Mining, minerals and metals, Transportation","161 Louis Pasteur, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Maynes Lab,"Life sciences, pharmaceuticals and medical equipment","555 University Ave, Toronto, ON, M5G 1X8, Canada",The Hospital for Sick Children
McMaster Analytical X-ray Diffraction Facility (MAX),"Automotive, Chemical industries, Education, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","1280 Main Street West, Hamilton, ON, L8S 4M1, Canada",McMaster University
McMaster Archaeological XRF Lab (MAX Lab),"Arts and cultural industries, Chemical industries, Construction (including building, civil engineering, specialty trades), Defence and security industries, Education, Manufacturing and processing, Mining, minerals and metals","1280 Main Street West, Hamilton, ON, L8S 4L9, Canada",McMaster University
McMaster Manufacturing Research Institute (MMRI),"Aerospace and satellites, Automotive, Chemical industries, Defence and security industries, Education, Energy, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","1280 Main St. W, Hamilton, ON, L8S 4L7, Canada",McMaster University
McMaster Organizational Behaviour Laboratory,"Healthcare and social services, Information and communication technologies and media, Management and business related services, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","1280 Main Street West, Hamilton, ON, L8S 4L8, Canada",McMaster University
McMaster Regional Centre for Mass Spectrometry (MRCMS),"Chemical industries, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","1280 Main St. W., Hamilton, ON, L8S 4M1, Canada",McMaster University
Mechatronic and Robotic Systems (MARS) Laboratory,"Aerospace and satellites, Defence and security industries, Manufacturing and processing, Mining, minerals and metals, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
MEDIC – mHealth and eHealth Development and Innovation Centre,"Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","135 Fennell Avenue West, Hamilton, ON, L9C 0E5, Canada",Mohawk College of Applied Arts and Technology
Mental Health in the Digital Age Lab,"Education, Healthcare and social services, Information and communication technologies and media, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","61 Charles Street, Oshawa, ON, L1H 4X8, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Metabolomics Core Facility,"Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Micro-NanoPhotonics Laboratory,"Clean technology, Energy, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media","1125 Colonel By Drive,, Ottawa, ON, K1S 5B6, Canada",Carleton University
Micro/Nano-Optoelectronic Devices Laboratory,Information and communication technologies and media,"10 King’s College Road, Toronto, ON, M5S 3G4, Canada",University of Toronto
Microbeam Mineralogy Laboratory for Geoscience And Exploration,"Energy, Environmental technologies and related services, Mining, minerals and metals","601 Booth Street, Ottawa, ON, K1A 0E8, Canada",Natural Resources Canada
Microlab,Information and communication technologies and media,"40 St. George Street, Toronto, ON, M5S 3G4, Canada",University of Toronto
Microrobotics Laboratory,"Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Mining Building, 170 College St., Toronto, ON, M5S 3E3, Canada",University of Toronto
Microsatellite Science and Technology Centre (MSTC),"Aerospace and satellites, Defence and security industries, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Information and communication technologies and media, Mining, minerals and metals, Ocean industries","4925 Dufferin Street, Toronto, ON, M3H 5T6, Canada",University of Toronto
Microwave Imaging Facility,"Defence and security industries, Education, Life sciences, pharmaceuticals and medical equipment, Utilities","Information Technology Building – Annex, Hamilton, ON, L8S4K9, Canada",McMaster University
Mineral Processing - CanmetMINING,"Energy, Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada
MK Lab (ecology and evolutionary biology),"Agriculture, animal science and food, Fisheries and aquaculture, Ocean industries","25 Willcocks Street, Toronto, ON, M5S 3B2, Canada",University of Toronto
Mobile Research Laboratory,Healthcare and social services,"33 Russell Street, Toronto, ON, M5S 2S1, Canada",Centre for Addiction and Mental Health (CAMH)
Modern Literature and Culture Research Centre,Arts and cultural industries,"111 Gerrard Street East, Toronto, ON, M5B 1G8, Canada",Toronto Metropolitan University
Molecular and Cellular Imaging Facility,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","488 Gordon Street, Guelph, ON, N1G 2W1, Canada",University of Guelph
Motor Behaviour and Physical Activity Laboratory,"Education, Healthcare and social services","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Multi-Scale Additive Manufacturing Laboratory,"Aerospace and satellites, Automotive, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","200 University Avenue West, Waterloo, ON, N2L3G1, Canada",University of Waterloo
"Multicore Applications, Architectures, and Algorithms for Complex Systems","Information and communication technologies and media, Utilities","6 King’s College Road, Toronto, ON, M5S 3H5, Canada",University of Toronto
Multidisciplinary Laboratory for Development of New Generation MRI Contrast Agents for Biomedical Imaging,"Chemical industries, Clean technology, Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","1065 Military Trail, Toronto, ON, M1C 1A4, Canada",University of Toronto
Multimedia Production and Analysis Lab,"Arts and cultural industries, Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","200 University Avenue West, Waterloo, ON, N2T 2S1, Canada",University of Waterloo
Muscle Health Research Centre (MRHC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","4700 Keele Street, Toronto, ON, M3J 1P3, Canada",York University
NanoFab,"Chemical industries, Energy, Environmental technologies and related services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
NanoFabrication Kingston,"Aerospace and satellites, Clean technology, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Innovation Park, Kingston, ON, K7L 0E9, Canada",Queen's University
Nanomaterials for Energy,"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Manufacturing and processing","Sandford Fleming Building10 King’s College Road, Toronto, ON, M5S 3G4, Canada",University of Toronto
NanoMechanics and Materials Laboratory,"Aerospace and satellites, Automotive, Clean technology, Energy, Manufacturing and processing, Mining, minerals and metals","170 College St., Toronto, ON, M5S 3E3, Canada",University of Toronto
Nanotechnology - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","1st Floor, Room D156, Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Natural Resources DNA Profiling and Forensic Centre (NRDPFC),"Agriculture, animal science and food, Defence and security industries, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment, Ocean industries, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","2140 East Bank Drive, Peterborough, ON, K9L 1Z8, Canada",Trent University
Neish Radar Remote Sensing Lab,"Construction (including building, civil engineering, specialty trades), Forestry and forest-based industries, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering), Transportation","1151 Richmond Street N., London, ON, N6A 5B7, Canada",Western University (The University of Western Ontario)
Network Biology Collaborative Centre (NBCC),"Life sciences, pharmaceuticals and medical equipment","600 University Avenue, Toronto, ON, M5G 1X5, Canada",Sinai Health System
Neuroscience of Leadership and Teams Lab (NeuroLead),Management and business related services,"1280 Main Street West, Hamilton, ON, L8S 4E8, Canada",McMaster University
Nipissing University Research Data Centre,"Education, Healthcare and social services, Information and communication technologies and media, Policy and governance","100 College Drive, North Bay, ON, P1B 8L7, Canada",Nipissing University
NMR Center,"Education, Life sciences, pharmaceuticals and medical equipment","Medical Sciences Bldg, Room 1233, Toronto, ON, M5S 1A8, Canada",University of Toronto
NMR Facility,"Chemical industries, Education","10 Marie Curie Private, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
NRC Flight Research Laboratory Convair-580 aircraft,"Aerospace and satellites, Agriculture, animal science and food, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Forestry and forest-based industries, Transportation","1920 Research Private, bld. U-61, Ottawa, ON, K1V 2B1, Canada",National Research Council Canada
Nuclear Magnetic Resonance (NMR) Facility,"Chemical industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment","1280 Main St. West, Hamilton, ON, L8S 4M1, Canada",McMaster University
Nuclear Magnetic Resonance Spectroscopy - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Nutrition Research Division,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","Sir Frederick G. Banting Research Centre (animal facility), Ottawa, ON, K1A 0K9, Canada",Health Canada
Offroad Robotics,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Forestry and forest-based industries, Mining, minerals and metals","Jackson Hall, Kingston, ON, K7L 3N6, Canada",Queen's University
OICR Genomics,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","661 University Avenue, Toronto, ON, M5G 0A3, Canada",Ontario Institute for Cancer Research
Ontario Centre for the Characterisation of Advanced Materials (OCCAM),"Aerospace and satellites, Agriculture, animal science and food, Arts and cultural industries, Automotive, Chemical industries, Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Consumer non-durables, Defence and security industries, Energy, Environmental technologies and related services, Forestry and forest-based industries, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Transportation, Utilities","Wallberg Memorial Building, 200 College Street, Toronto, ON, M5S 3E5, Canada",University of Toronto
Open-loop boundary layer wind tunnel,"Construction (including building, civil engineering, specialty trades)","Center for Engineering Innovation, Windsor, ON, N9B 3P4, Canada",University of Windsor
Organic Analytical and Nutrient Laboratory (OANL) - GLIER,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Fisheries and aquaculture, Mining, minerals and metals","2990 Riverside Dr. W, Windsor, ON, N9C 1A2, Canada",University of Windsor
Orthopaedic Mechatronics (ORTHOtron) Laboratory,"Life sciences, pharmaceuticals and medical equipment","200 University Dr., Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Ottawa Hospital Research Institute Proteomics Core Facility,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",The Ottawa Hospital
Parks Canada Agency Laboratories,Arts and cultural industries,"Mulligan Building, Ottawa, ON, K1H 8K3, Canada",Parks Canada
Passeport’s Group,"Agriculture, animal science and food, Chemical industries, Clean technology, Defence and security industries, Energy, Environmental technologies and related services","Galbraith Building, 35 St George Street, Toronto, ON, M5S 1A4, Canada",University of Toronto
Pathology Research Program (PRP) Laboratory,"Education, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","200 Elizabeth St., Toronto, ON, M5G 2C4, Canada",University Health Network
Patrice Smith Neuroscience Neuro Repair Lab,Healthcare and social services,"Life Sciences Research Building1125 Colonel By Drive, Ottawa, ON, K1S5B6, Canada",Carleton University
PHE WISE Digital Culture Lab,"Education, Healthcare and social services, Information and communication technologies and media","61 Charles Street, Oshawa, ON, L1H 4X8, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Philip S. Orsino Cell Processing Laboratory,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","610 University Avenue, Toronto, ON, M5G 2M9, Canada",University Health Network
Photonics for Life,"Chemical industries, Clean technology, Energy","90 Bader Lane, Kingston, ON, K7L 3N6, Canada",Queen's University
Physical Activity Centre of Excellence (PACE),"Life sciences, pharmaceuticals and medical equipment","1280 Main St. West, Hamilton, ON, L8S 4L8, Canada",McMaster University
Plant Metabolism and Metabolomics Lab,"Agriculture, animal science and food, Forestry and forest-based industries","3359 Mississauga Rd N, Toronto, ON, L5L 1C6, Canada",University of Toronto
Polar Data Catalogue,"Aerospace and satellites, Agriculture, animal science and food, Environmental technologies and related services, Fisheries and aquaculture, Ocean industries","200 University Ave W, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Power Electronics and Drives Applications Lab (PEDAL),"Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Environmental technologies and related services, Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Preclinical Imaging Core (PCIC),"Agriculture, animal science and food, Construction (including building, civil engineering, specialty trades), Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Princess Margaret Genomics Centre (PMGC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network
Production and Operations Management (POM) Research Lab,"Agriculture, animal science and food, Automotive, Construction (including building, civil engineering, specialty trades), Healthcare and social services, Information and communication technologies and media, Manufacturing and processing, Transportation","401 Sunset Ave., Windsor, ON, N9B 3P4, Canada",University of Windsor
Protein Biophysics Core Facility,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Proteomics Resource Center,"Agriculture, animal science and food, Chemical industries, Clean technology, Education, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Psychiatric Neurogenetics Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","250 College Street, R-50, Toronto, ON, M5T 1R8, Canada",Centre for Addiction and Mental Health (CAMH)
Quantitative Imaging for Personalized Cancer Medicine (QIPCM) Advanced Imaging Core Lab,Healthcare and social services,"190 Elizabeth Street, Toronto, ON, M5G 2C4, Canada",University Health Network
Quantitative Microbiology Lab,"Life sciences, pharmaceuticals and medical equipment","200 University Ave. W., Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Quantitative MR imaging Laboratory for Cell and Tissue Engineering,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","MaRS West Tower, Toronto, ON, M5G 1M1, Canada",University of Toronto
Quantum Dynamics Group,Environmental technologies and related services,"90 Bader Lane, Kingston, ON, K7L 3N6, Canada",Queen's University
Quantum-Nano Fabrication and Characterization Facility (QNFCF),"Aerospace and satellites, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Queen’s CardioPulmonary Unit (QCPU),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","116 Barrie Street, Kingston, ON, K7L 3J9, Canada",Queen's University
Queen’s Facility for Isotope Research (QFIR),"Agriculture, animal science and food, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Utilities","35 Union Street, Kingston, ON, K7L 3N6, Canada",Queen's University
Queen’s Muscle Physiology Lab,Healthcare and social services,"28 Division Street, Kingston, ON, K7L 3N6, Canada",Queen's University
Radioactive Waste Management Laboratory - CanmetMINING,"Environmental technologies and related services, Mining, minerals and metals","3484 Limebank Rd., Ottawa, ON, K1V 1E1, Canada",Natural Resources Canada
Radiogenic Isotope Geochemistry and Geochronology Laboratory,"Energy, Environmental technologies and related services, Mining, minerals and metals","601 Booth Street, Ottawa, ON, K1A 0E8, Canada",Natural Resources Canada
Rail Testing Facilities,"Aerospace and satellites, Agriculture, animal science and food, Automotive, Defence and security industries, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada
"Railway Wheel, Bearing and Brake Facility","Automotive, Manufacturing and processing, Transportation, Utilities","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada
Rauh Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","88 Stuart St., Kingston, ON, K7L 3N6, Canada",Queen's University
Real-Time Embedded Software (RTEMSOFT) Research Lab,"Automotive, Defence and security industries, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","40 Conlin Rd., Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Reconfigurable Antenna Laboratory,Information and communication technologies and media,"Bahen Centre for Information Technology, Toronto, ON, M5S 3G4, Canada",University of Toronto
Research Aircraft Fleet,"Aerospace and satellites, Defence and security industries, Environmental technologies and related services, Forestry and forest-based industries, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Transportation","1920 Research Private, Ottawa, ON, K1V 1J8, Canada",National Research Council Canada
Research Centre for Women’s and Infants’ Health (RCWIH) BioBank,"Life sciences, pharmaceuticals and medical equipment","Joseph and Wolf Lebovic Health Complex, Toronto, ON, M5T 3L9, Canada",Sinai Health System
Research Core Facilities,"Education, Life sciences, pharmaceuticals and medical equipment","209 Victoria St., Toronto, ON, M5B 1T8, Canada",Unity Health Toronto
Research magnetoencephalography (MEG) facility,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","555 University Avenue, Toronto, ON, M5G 1X8, Canada",The Hospital for Sick Children
Resilience Design Lab (rLab),"Environmental technologies and related services, Fisheries and aquaculture, Information and communication technologies and media, Management and business related services, Policy and governance","100 McCaul Street, Toronto, ON, M5T 1W1, Canada",Ontario College of Art and Design University (OCAD University)
Robarts Imaging Laboratories,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","100 Perth Drive, London, ON, N6A 5K8, Canada",Western University (The University of Western Ontario)
S.M.A.R.T. Laboratory for High-Throughput Screening Programs,"Life sciences, pharmaceuticals and medical equipment","600 University Avenue, Toronto, ON, M5G 1X5, Canada",Sinai Health System
Scientific Services Division Flow Cytometry Facility,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Screen Industries Research and Training (SIRT) Centre,"Arts and cultural industries, Education, Healthcare and social services, Information and communication technologies and media, Management and business related services","225 Commissioners Street, Toronto, ON, M4M 0A1, Canada",Sheridan College Institute of Technology and Advanced Learning
Secure Empirical Analysis Lab (SEAL),"Education, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Policy and governance, Tourism and hospitality","1280 Main St West, LRW 5803, Hamilton, ON, L8S 4K1, Canada",McMaster University
Sedimentary Processes Characterization and Analyses,"Agriculture, animal science and food, Construction (including building, civil engineering, specialty trades), Education, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Mining, minerals and metals","Department of Geography, Guelph, ON, N1G 2W1, Canada",University of Guelph
Sedimentology Laboratory,"Construction (including building, civil engineering, specialty trades), Energy, Environmental technologies and related services, Mining, minerals and metals","601 Booth Street, Ottawa, ON, K1A 0E8, Canada",Natural Resources Canada
Shallow Water Earth Observation Laboratory (SWEOL),"Aerospace and satellites, Environmental technologies and related services, Ocean industries, Transportation","60 University Private, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
SHARCNET,"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Utilities","1151 Richmond Street N., London, ON, N6A 5B7, Canada",Western University (The University of Western Ontario)
Silicon Hall (Micro-Nano Fabrication Facility),"Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","2000 Simcoe St. N, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
SIM Social Work Research Lab,"Education, Healthcare and social services, Professional and technical services (including legal services, architecture, engineering)","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Sinton Lab (fluidics and energy),"Energy, Environmental technologies and related services, Mining, minerals and metals","5 King’s College Rd., Toronto, ON, M5S 3G8, Canada",University of Toronto
"Sleep, Sedation and Anesthetic Sciences","Life sciences, pharmaceuticals and medical equipment","Medical Sciences Building, 1 King’s College Circle, Toronto, ON, M5S 1A8, Canada",University of Toronto
Smart and Adaptive Materials,"Aerospace and satellites, Automotive, Consumer durables, Defence and security industries, Manufacturing and processing","Mechanical Engineering, 5 King’s College Rd, Toronto, ON, M5S 3G8, Canada",University of Toronto
SMART Centre,"Automotive, Clean technology, Environmental technologies and related services, Information and communication technologies and media, Management and business related services, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","96 Grand Avenue, Cambridge, ON, N1S 2L9, Canada",Conestoga College Institute of Technology and Advanced Learning
Smart Connected Vehicles Innovation Centre (SCVIC),"Automotive, Defence and security industries, Information and communication technologies and media, Transportation","535 Legget Drive, Ottawa, ON, K2K 3B8, Canada",University of Ottawa
"Smith Laboratory, Department of Chemistry","Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
SNOLAB,"Aerospace and satellites, Clean technology, Defence and security industries, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals","1039 Regional Road 24, Lively, ON, P3Y 1N2, Canada",Queen's University
Social and Technological Systems (SaTS) Lab,"Arts and cultural industries, Healthcare and social services, Information and communication technologies and media","86 Fine Arts Rd., North York, Toronto, ON, M3J 1P3, Canada",York University
Social Psychophysiological Research & Quantitative Methods Laboratory,"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Management and business related services, Policy and governance","Sidney Smith Hall, 100 St. George Street, Toronto, ON, M5S 3G3, Canada",University of Toronto
Software Engineering and Education Research (SEER) Lab,"Education, Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Soil Ecosystem and Water Dynamics Laboratory,"Agriculture, animal science and food","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Southern Ontario Centre for Atmospheric Aerosol Research (SOCAAR),"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering), Transportation, Utilities","200 College Street, Toronto, ON, M5S 3E5, Canada",University of Toronto
Space and Terrestrial Autonomous Robotic Systems (STARS) Laboratory,"Aerospace and satellites, Defence and security industries, Education, Information and communication technologies and media","Institute for Aerospace Studies,4925 Dufferin Street, Toronto, ON, M3H 5T6, Canada",University of Toronto
Sport Officiating Studies (SOS) Centre,"Arts and cultural industries, Education, Management and business related services, Policy and governance","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
St. Michael's Hospital MRI Research Centre,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","30 Bond Street, Toronto, ON, M5B 1W8, Canada",Unity Health Toronto
STEAM-3D Maker Lab,"Arts and cultural industries, Education, Information and communication technologies and media, Policy and governance","61 Charles Street, Oshawa, ON, L1H 4X8, Canada",Ontario Tech University (University of Ontario Institute of Technology)
StemCore Laboratories,"Agriculture, animal science and food, Education, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",The Ottawa Hospital
Structural and Biophysical Core Facility,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Peter Gilgan Centre for Research and Learning, Toronto, ON, M5G 0A4, Canada",The Hospital for Sick Children
Structural Genomics Consortium,"Life sciences, pharmaceuticals and medical equipment","MaRS Centre, 7th Floor  South Tower; 101 College Street, Toronto, ON, M5G1L7, Canada",University of Toronto
Structural Integrity Laboratory,"Aerospace and satellites, Defence and security industries, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Structural Testing Facility,"Construction (including building, civil engineering, specialty trades), Defence and security industries, Transportation, Utilities","Galbraith Building, Toronto, ON, M5S 1A4, Canada",University of Toronto
"Structures, Materials and Corrosion (SMC) Laboratory - Civil infrastructure testing facilities","Construction (including building, civil engineering, specialty trades), Defence and security industries, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering), Transportation, Utilities","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
STTARR Innovation Centre (Spatio-Temporal Targeting and Amplification of Radiation Response Program),Healthcare and social services,"101 College St., Toronto, ON, M5G 1L7, Canada",University Health Network
SUNLAB,"Aerospace and satellites, Clean technology, Energy, Information and communication technologies and media, Manufacturing and processing","25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Surface Science Western (SSW),"Automotive, Chemical industries, Energy, Manufacturing and processing, Mining, minerals and metals","999 Collip Circle, London, ON, N6G 0J3, Canada",Western University (The University of Western Ontario)
Synthetic Organic Chemistry Research Lab,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Taipale Lab,"Life sciences, pharmaceuticals and medical equipment","Donnelly Centre, 160 College St, Toronto, ON, M5S 3E1, Canada",University of Toronto
Technology-Enhanced Biopharmaceuticals Development and Manufacturing (TEnDev): Mirror Lab,"Chemical industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","4700 Keele Street, Toronto, ON, M3J 1P3, Canada",York University
Temerty Centre for Therapeutic Brain Intervention,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1001 Queen Street West, Unit 4-1, Toronto, ON, M6J 1H4, Canada",Centre for Addiction and Mental Health (CAMH)
The Centre for Advanced Research in Experimental and Applied Linguistics (ARiEAL),"Defence and security industries, Education, Healthcare and social services, Information and communication technologies and media, Policy and governance","1280 Main Street West, Hamilton, ON, L8P 4J1, Canada",McMaster University
